INT	INT	STRING
2270	85	Th¤t T¸ch Uyên ¿½ng
2271	95	Th¤t T¸ch Uyên ¿½ng
2272	5	Phª Sài
2273	45	Phª Sài
2274	55	Phª Sài
2275	65	Phª Sài
2276	75	Phª Sài
2277	85	Phª Sài
2278	95	Phª Sài
2279	5	Linh Th¯ Thú
2280	45	Linh Th¯ Thú
2281	55	Linh Th¯ Thú
2282	65	Linh Th¯ Thú
2283	75	Linh Th¯ Thú
2284	85	Linh Th¯ Thú
2285	95	Linh Th¯ Thú
2286	5	Chí Tôn Th¥n Thú
2287	45	Chí Tôn Th¥n Thú
2288	55	Chí Tôn Th¥n Thú
2289	65	Chí Tôn Th¥n Thú
2290	75	Chí Tôn Th¥n Thú
2291	85	Chí Tôn Th¥n Thú
2292	95	Chí Tôn Th¥n Thú
2293	5	Khäi Khäi Sß
2294	5	Hß½ng Ði«m Höa Kê
2295	45	Th¯ Tiêu Höa Kê
2296	55	Ba Gia Höa Kê
2297	65	Lam Môi Höa Kê
2298	75	Toán Nê Höa Kê
2299	85	Già Ly Höa Kê
2300	95	Nãi Du Höa Kê
2301	5	SØu Ti¬u Áp
2302	55	SØu Ti¬u Áp
2303	85	SØu Ti¬u Áp
2304	5	Hoa Tiên TØ
2305	45	Hoa Tiên TØ
2306	55	Hoa Tiên TØ
2307	65	Hoa Tiên TØ
2308	75	Hoa Tiên TØ
2309	85	Hoa Tiên TØ
2310	95	Hoa Tiên TØ
2318	5	Trân KÏ H±
2319	45	Trân KÏ H±
2320	55	Trân KÏ H±
2321	65	Trân KÏ H±
2322	75	Trân KÏ H±
2323	85	Trân KÏ H±
2324	95	Trân KÏ H±
2332	85	Bång Ðiêu Long 
2333	5	„u Xï Long
2334	45	„u Xï Long
2335	55	„u Xï Long
2336	65	„u Xï Long
2337	75	„u Xï Long
2338	85	„u Xï Long
2339	95	„u Xï Long
2340	5	Hùng Miêu Song Hi®p
2341	45	Hùng Miêu Song Hi®p
2342	55	Hùng Miêu Song Hi®p
2343	65	Hùng Miêu Song Hi®p
2344	75	Hùng Miêu Song Hi®p
2345	85	Hùng Miêu Song Hi®p
2346	95	Hùng Miêu Song Hi®p
2349	5	Chß½ng Ngß
2350	45	Chß½ng Ngß
2351	55	Chß½ng Ngß
2352	65	Chß½ng Ngß
2353	75	Chß½ng Ngß
2354	85	Chß½ng Ngß
2355	95	Chß½ng Ngß
2370	5	Cß½ng Thi
2371	5	Ngû S¡c Th¥n Ngßu
2372	45	Ngû S¡c Th¥n Ngßu
2373	55	Ngû S¡c Th¥n Ngßu
2374	65	Ngû S¡c Th¥n Ngßu
2375	75	Ngû S¡c Th¥n Ngßu
2376	85	Ngû S¡c Th¥n Ngßu
2377	95	Ngû S¡c Th¥n Ngßu
2378	45	Cß½ng Thi
2379	55	Cß½ng Thi
2380	65	Cß½ng Thi
2381	75	Cß½ng Thi
2382	85	Cß½ng Thi
2383	95	Cß½ng Thi
2500	85	Äo Hóa Bång Yêu
2501	85	Äo Hóa Tôn MÛ MÛ
2502	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2503	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2504	85	Äo Hóa Bång Yêu
2505	85	Äo Hóa Tôn MÛ MÛ
2506	85	Äo Hóa Tôn MÛ MÛ
2507	85	Äo Hóa Bång Yêu
2508	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2509	85	Äo Hóa Tôn MÛ MÛ
2510	85	Äo Hóa Bång Yêu
2511	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2512	85	Äo Hóa Tôn MÛ MÛ
2513	85	Äo Hóa Tôn MÛ MÛ
2514	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2515	85	Äo Hóa Bång Yêu
2516	85	Äo Hóa Tôn MÛ MÛ
2517	85	Äo Hóa Bång Yêu
2518	85	Äo Hóa Bång Yêu
2519	85	Äo Hóa Tôn MÛ MÛ
2520	85	Äo Hóa Bång Yêu
2521	85	Äo Hóa Tôn MÛ MÛ
2522	85	Äo Hóa Tôn MÛ MÛ
2523	85	Äo Hóa Tôn MÛ MÛ
2524	85	Äo Hóa Bång Yêu
2525	85	Äo Hóa Tôn MÛ MÛ
2526	85	Äo Hóa Bång Yêu
2527	85	Äo Hóa Bång Yêu
2528	85	Äo Hóa Tôn MÛ MÛ
2529	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2530	85	Äo Hóa Bång Yêu
2531	85	Äo Hóa Tôn MÛ MÛ
2532	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2533	85	Äo Hóa Bång Yêu
2534	85	Äo Hóa Bång Yêu
2535	95	Äo Hóa T¥n Vß½ng
2536	95	Äo Hóa Vi­n C± KÏ H°n
2537	95	Äo Hóa Vi­n C± KÏ H°n
2538	95	Äo Hóa T¥n Vß½ng
2539	95	Äo Hóa T¥n Vß½ng
2540	95	Äo Hóa Vi­n C± KÏ H°n
2541	95	Äo Hóa Cáp ÐÕi Bá
2542	95	Äo Hóa T¥n Vß½ng
2543	95	Äo Hóa Vi­n C± KÏ H°n
2544	95	Äo Hóa Cáp ÐÕi Bá
2545	95	Äo Hóa T¥n Vß½ng
2546	95	Äo Hóa Cáp ÐÕi Bá
2547	95	Äo Hóa Cáp ÐÕi Bá
2548	95	Äo Hóa Vi­n C± KÏ H°n
2549	95	Äo Hóa T¥n Vß½ng
2550	95	Äo Hóa Vi­n C± KÏ H°n
2551	95	Äo Hóa Vi­n C± KÏ H°n
2552	95	Äo Hóa T¥n Vß½ng
2553	95	Äo Hóa T¥n Vß½ng
2554	95	Äo Hóa T¥n Vß½ng
2555	95	Äo Hóa Vi­n C± KÏ H°n
2556	95	Äo Hóa T¥n Vß½ng
2557	95	Äo Hóa Vi­n C± KÏ H°n
2558	95	Äo Hóa Vi­n C± KÏ H°n
2559	95	Äo Hóa T¥n Vß½ng
2560	95	Äo Hóa Cáp ÐÕi Bá
2561	95	Äo Hóa Vi­n C± KÏ H°n
2562	95	Äo Hóa T¥n Vß½ng
2563	95	Äo Hóa Cáp ÐÕi Bá
2564	95	Äo Hóa Vi­n C± KÏ H°n
2565	95	Äo Hóa Vi­n C± KÏ H°n
2566	85	Äo Hóa Tôn MÛ MÛ
2567	95	Äo Hóa T¥n Vß½ng
2568	85	Äo Hóa Bång Yêu
2569	95	Äo Hóa Vi­n C± KÏ H°n
2570	85	Äo Hóa Tôn MÛ MÛ
2571	95	Äo Hóa T¥n Vß½ng
2572	85	Äo Hóa Bång Yêu
2573	95	Äo Hóa Vi­n C± KÏ H°n
2577	85	Äo Hóa ThuÖ Phï Ð¥u Lînh
2578	95	Äo Hóa Cáp ÐÕi Bá
2581	85	Äo Hóa Tôn MÛ MÛ
2582	95	Äo Hóa T¥n Vß½ng
2585	85	Äo Hóa Bång Yêu
2586	95	Äo Hóa Vi­n C± KÏ H°n
2591	85	Äo Hóa Tôn MÛ MÛ
2592	95	Äo Hóa T¥n Vß½ng
2594	85	Äo Hóa Tôn MÛ MÛ
2595	95	Äo Hóa T¥n Vß½ng
