INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
16	Tinh Túc Häi	192	192	xingxiu.scene	xingxiu.path	xingxiu.wCollision	xingxiu.jpg	109	60000	xingxiuscene	323	308	323	330	Sign8	MiniMap_Icon	XingXiuHai_Normal	MiniMap_Icon	XingXiuHai_Hover	Môn phái #rT±ng ðà phái Tinh Túc	0.2;0.25
17	Thiên S½n	192	192	tianshan.scene	tianshan.path	tianshan.wCollision	tianshan.jpg	2037	30000	tianshanscene	316	165	318	185	Sign6	MiniMap_Icon2	TianShan_Normal	MiniMap_Icon2	TianShan_Hover	Môn phái #rT±ng ðà phái Thiên S½n	0.2;0.2
18	NhÕn Nam	320	320	yannan.scene	yannan.path	yannan.wCollision	yannan.jpg	110	60000	yannanscene	669	308	669	323	Sign3	MiniMap_Icon2	YanNan_Normal	MiniMap_Icon2	YanNan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 30-36#rLoÕi quái v§t: #rTây B¡c Lang, Kim Ti«n Báo, #r Hôi Hùng, T¥n Gia TrÕi Thám TØ, #r T¥n Gia TrÕi Lâu La, T¥n Gia TrÕi#r Thân Binh, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 4): #rHàn Thiªt Khoáng MÕch, #r Hoàng C¥m, C¦u KÖ, Tr¥m Hß½ng, #r Bình Ngß (170, 188), Thiên Ð¥u Ngß (193, 183).	0.2;0.25
19	NhÕn B¡c	320	320	yanbei.scene	yanbei.path	yanbei.wCollision	yanbei.jpg	110	60000	yanbeiscene	633	251	633	266	Sign3	MiniMap_Icon2	YanBei_Normal	MiniMap_Icon2	YanBei_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 45-51#rLoÕi quái v§t: #rH°ng Phong Hùng, T¥n Gia TrÕi Kiªp Phï, #r H°ng Phong Tri Thù, T¥n Gia TrÕi Hµ#r V®, T¥n Gia TrÕi Giáo Ð¥u, Ðä Thäo#r C¯c Liêu Binh, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 7): #rThüy Tinh Khoáng Khoáng MÕch, #r ðß¶ng Quy, Quª Tâm, Hß½ng Phø, #r Ð¦u Ngß (65, 221), #r Thoa Ngß (41, 47).	0.2;0.25
20	Thäo Nguyên	320	320	caoyuan.scene	caoyuan.path	caoyuan.wCollision	caoyuan.jpg	111	60000	caoyuanscene	661	169	661	183	Sign3	MiniMap_Icon2	CaoYuan_Normal	MiniMap_Icon2	CaoYuan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 60-66#rLoÕi quái v§t: #rThäo Nguyên Lang, Ðä Thäo C¯c T¯ng Binh, #r Mông C± H¡c Phong, Thi¬m Ði®n Mã Phï, #r Truy Phong Mã Phï, Loan Ðao Mã Phï, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 10): #rLong Huyªt Khoáng Khoáng MÕch, #r Tßþng B¯i, Nhân Sâm, #r Khuê Ngß (218, 165), #r Bài KÏ Ngß (220, 172).	0.25;0.2
21	Liêu Tây	320	320	liaoxi.scene	liaoxi.path	liaoxi.wCollision	liaoxi.jpg	111	60000	liaoxiscene	671	114	673	127	Sign3	MiniMap_Icon2	LiaoXi_Normal	MiniMap_Icon2	Liaoxi_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 75 - 81 #rChüng loÕi quái v§t: #rNh¤t Ph¦m Ðß¶ng Thích Khách, BÕch Lang Vß½ng, #rÐÕi H¡c Phong, H°ng Y Mã Phï, #rH¡c Y Mã Phï, Khinh Giáp Mãng Cái.	0.2;0.2
22	Trß¶ng BÕch S½n	320	320	changbai.scene	changbai.path	changbai.wCollision	changbaishan.jpg	112	60000	changbaishanscene	799	154	799	167	Sign3	MiniMap_Icon	ChangBaiShan_Normal	MiniMap_Icon	ChangBaiShan_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 88 - 93 #rChüng loÕi quái v§t: #rH¡c Hùng, Ðông B¡c H±, #rTuyªt Nhân, Tuyªt S½n Li®p Nhân.	0.25;0.1
23	Hoàng Long Phü	320	320	huanglong.scene	huanglong.path	huanglong.wCollision	huanglong.jpg	112	60000	huanglongscene	764	111	764	123	Sign3	MiniMap_Icon	HuangLongFu_Normal	MiniMap_Icon	HuangLongFu_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 100 - 105 #rChüng loÕi quái v§t: #rTuyªt S½n Lang, Ba Luân Mãng Cái, #rÐÕi H¡c Hùng, Tuyªt S½n Mãng Cái. #rTrùng Giáp Mãng Cái.	0.25;0.15
24	Nhî Häi	320	320	erhai.scene	erhai.path	erhai.wCollision	erhai.jpg	113	60000	erhaiscene	343	665	343	680	Sign3	MiniMap_Icon2	ErHai_Normal	MiniMap_Icon2	ErHai_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 25-31#rLoÕi quái v§t: #rXích Cß¾c Dã Nhân, Phong Lang, #r Lang Tµc Thám TØ, Lang Tµc Kinh Cúc SÑ, #r Hoa Ban Báo, Lang Tµc Chiªn Sî, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 3): #rNgân Khoáng MÕch, #r TÏ Ba, Cam Thäo, Kim Ngân Hoa, #r Liên Ngß (243, 199), Lß Ngß (252, 199).	0.2;0.3
25	Thß½ng S½n	320	320	cangshan.scene	cangshan.path	cangshan.wCollision	cangshan.jpg	113	60000	cangshanscene	291	633	291	645	Sign3	MiniMap_Icon2	CangShan_Normal	MiniMap_Icon2	CangShan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 40-46#rLoÕi quái v§t: #rTuyªt Lang, Thoa Y Dã Nhân, #r Lang Tµc Ð¥u Nhân, Lang Tµc Dûng Sî, #r Lang Tµc Th¥n Hán, Lang Tµc Th± Tß, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 6): #rHuy«n Thiªt Khoáng Khoáng MÕch, #r Phòng Phong, Hß½ng Nhu, Hoàng Liên, #r H¡c Ngß (226, 75), #r Thu Ðao Ngß (233, 76).	0.2;0.3
26	ThÕch Lâm	320	320	shilin.scene	shilin.path	shilin.wCollision	shilin.jpg	114	60000	shilinscene	271	702	271	715	Sign3	MiniMap_Icon2	ShiLin_Normal	MiniMap_Icon2	ShiLin_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 55-61#rLoÕi quái v§t: #rTông Hùng, Lang Thù, #r Hoa Cß½ng ThÕch Sß, Hoa Cß½ng ThÕch Nhân, #r Hi®t Nham ThÕch Nhân, ThÕch Nhân Y¬n Sß, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 9): #rChân Vû Khoáng Khoáng MÕch, #r Ðông Trùng HÕ Thäo, Long QuÏ TØ, #r Ngân Ngß (212, 105), Câu Ngß (256, 165).	0.2;0.2
27	Ng÷c Khê	320	320	yuxi.scene	yuxi.path	yuxi.wCollision	yuxi.jpg	114	60000	yuxiscene	333	709	333	697	Sign3	MiniMap_Icon2	YuXi_Normal	MiniMap_Icon2	YuXi_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 70 - 76 #rChüng loÕi quái v§t: #rLong Huyªt ThÕch Nhân, K¸ch Ðµc Lang Thù, #rNæ Oa ThÕch Nhân, Vân Mçu ThÕch Nhân, #rY¬n Sß Hµ Pháp, ÐÕi Y¬n Sß.	0.2;0.25
28	Nam Chiêu	320	320	nanzhao.scene	nanzhao.path	nanzhao.wCollision	nanzhao.jpg	115	60000	nanzhaoscene	319	756	319	770	Sign3	MiniMap_Icon2	NanZhao_Normal	MiniMap_Icon2	Nanzhao_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 84 - 89 #rChüng loÕi quái v§t: #rH¡c Chi¬u Báo, Ð¢ng Giáp Dûng Sî, #rTùng Lâm Phong, Ð¢ng Giáp T£c, #rH¡c Miêu Chiªn Sî.	0.2;0.2
29	Miêu Cß½ng	320	320	miaojiang.scene	miaojiang.path	miaojiang.wCollision	miaojiang.jpg	115	60000	miaojiangscene	385	768	385	796	Sign4	MiniMap_Icon2	MiaoJiang_Normal	MiniMap_Icon2	MiaoJiang_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 96 - 101 #rChüng loÕi quái v§t: #rÁch Tu La, Vînh DÕ Tu La, #rVÕn Kiªp Tu La, A TÏ Tu La, #rChi¬u TrÕch NgÕc Ngß.	0.25;0.25
30	Tây H°	320	320	xihu.scene	xihu.path	xihu.wCollision	xihu.jpg	19	60000	xihuscene	823	566	823	581	Sign3	MiniMap_Icon2	XiHu_Normal	MiniMap_Icon2	XiHu_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 20-26#rLoÕi quái v§t: #rThüy QuÖ Thám TØ, Hoa Cäng Ðµc Phong, #r ÐoÕn Ki«u Hoa Yêu, BÕch Ðê Li­u QuÖ, #r Long Tïnh Thüy T£c, Quy Phong Trang Trang Khách, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 2): #rThiªt Khoáng MÕch, #r Xuyên B¯i, Nguyên H°, #r TÑc Ngß (128, 92), #r Ti­n Ngß (134, 95).	0.2;0.2
31	Long Tuy«n	320	320	longquan.scene	longquan.path	longquan.wCollision	longquan.jpg	19	60000	longquanscene	862	579	862	594	Sign3	MiniMap_Icon2	LongQuan_Normal	MiniMap_Icon2	LongQuan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 35-41#rLoÕi quái v§t: #rLÕn Lµ Thüy QuÖ, Tung Höa Thüy QuÖ, #r Thüy QuÖ Thích Khách, TÕc Thuy«n Thüy QuÖ, #rlong Tuy«n Báo, Quy Phong Trang Kiªm Sß, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 5): #rKim Khoáng MÕch, #r Ð² Tr÷ng, Thß½ng Thu§t, Phøc Linh, #r Thi®n Ngß (43, 215), #r Du Lñc Ngß (61, 285).	0.2;0.25
32	Võ Di	320	320	wuyi.scene	wuyi.path	wuyi.wCollision	wuyi.jpg	101	60000	wuyiscene	803	627	800	640	Sign3	MiniMap_Icon2	Wuyi_Normal	MiniMap_Icon2	Wuyi_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 50-56#rLoÕi quái v§t: #rThâm C¯c BÕch Viên, BÕch Hoa Tri Thù, #r S½n Vi®t Chiªn Sî, S½n Vi®t ÐÕo Phï, #r Thø Giáp Tiêu Binh, S½n Vi®t Ðao Khách, #rPhân b¯ nguyên li®u sinh hoÕt (c¤p 8): #rPhï Thuý Khoáng Khoáng MÕch, #r Ho¡c Hß½ng, H°i Th¥n Thäo, Thü Ô, #r Xß½ng Ngß (101, 237), #r Quang B¯i Ngß (101, 238).	0.2;0.25
33	Mai Lînh	320	320	meiling.scene	meiling.path	meiling.wCollision	meiling.jpg	101	60000	meilingscene	761	690	761	704	Sign3	MiniMap_Icon2	MeiLing_Normal	MiniMap_Icon2	MeiLing_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 65-71#rLoÕi quái v§t: #rH°ng Bào Tri Thù, Lßu Kh¤u, #r Tùng Lâm Dã Nhân, S½n Vi®t Tª Tñ, #r B¢ng Dân, S½n Vi®t Hµ Pháp, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 10): #rLong Huyªt Khoáng Khoáng MÕch.	0.25;0.2
34	Nam Häi	320	320	nanhai.scene	nanhai.path	nanhai.wCollision	nanhai.jpg	116	60000	nanhaiscene	696	740	696	725	Sign3	MiniMap_Icon2	NanHai_Normal	MiniMap_Icon2	NanHai_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 80 - 85 #rChüng loÕi quái v§t: #rNam Häi NgÕc Ngß, ThÕch Lão Nhân, #rNam Häi Häi ÐÕo, NgÕc Ngß Bang T£c Ð°, #rNgÕc Ngß Bang Ðä Thü.	0.2;0.25
35	QuÏnh Châu	320	320	qiongzhou.scene	qiongzhou.path	qiongzhou.wCollision	qiongzhou.jpg	116	60000	qiongzhouscene	634	846	617	862	Sign3	MiniMap_Icon2	QiongZhou_Normal	MiniMap_Icon2	QiongZhou_Hover	Toàn cänh dã ngoÕi #rQuái v§t ðÆng c¤p 92 - 97 #rChüng loÕi quái v§t: #rNgÕc Ngß Bang Sát Thü, Th¸ Huyªt NgÕc Ngß, #rNgÕc Ngß Bang Ðß¶ng Chü, Nam Häi ÐÕo Th¥n, #rNgÕc Ngß Bang Dûng Sî.	0.2;0.2
36	Tø Hi«n Trang	128	128	juxian.scene	juxian.path	juxian.wCollision	qiongzhou.jpg	18	60000	juxian	586	491	586	513	Sign11	MiniMap_Icon	JuXianZhuang_Normal	MiniMap_Icon	JuXianZhuang_Hover	Tø hi«n trang #rCänh sñ ki®n	0.0;0.0
37	Yªn TØ ‘	128	128	yanzi.scene	yanzi.path	yanzi.wCollision	qiongzhou.jpg	103	60000	yanzi	752	507	752	525	Sign11	MiniMap_Icon	YanZiWu_Normal	MiniMap_Icon	YanZiWu_Hover	Yªn TØ ‘: #rsñ ki®n toàn cänh #rKính H°: Nhi®m vø k¸ch tình #rThái H°: khiêu chiªn phø bän	0.0;0.0
38	Nh¤t Ph¦m Ðß¶ng	128	128	yipin.scene	yipin.path	yipin.wCollision	qiongzhou.jpg	144	60000	yipin	222	436	222	457	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Nh¤t ph¦m ðß¶ng #rCänh sñ ki®n	0.0;0.0
39	Dñ Lßu 1	256	256	yuliu1.scene	yuliu1.path	yuliu1.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Dñ lßu 1	0.0;0.0
40	Dñ Lßu 2	256	256	yuliu2.scene	yuliu2.path	yuliu2.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Dñ lßu 2	0.0;0.0
41	Dñ Lßu 3	256	256	yuliu3.scene	yuliu3.path	yuliu3.wCollision	qiongzhou.jpg	18	60000	LuoyangScene	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Dñ lßu 3	0.0;0.0
42	Phän Quân Doanh Ð¸a	128	128	_pingpan_1.scene	_pingpan_1.path	_pingpan_1.wCollision	_pingpan_1.jpg	117	60000	emei	0	0	0	0	City	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Phän quân doanh ð¸a	0.0;0.0
47	Mµc Nhân Cäng	128	128	murenxiang.scene	murenxiang.path	murenxiang.wCollision	murenxiang.jpg	117	60000	murenscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Mµc nhân cäng	0.0;0.0
61	Trân Long KÏ Cuµc	128	128	zhenlong.scene	zhenlong.path	zhenlong.wCollision	zhenlong.jpg	140	10000	zhenlongscene	652	468	654	455	Sign18	MiniMap_Icon3	ZhenLongQiJu_Normal	MiniMap_Icon3	ZhenLongQiJu_Normal	Trân Long kÏ cuµc	0.0;0.0
66	ThuÖ Lao	192	192	shuilao.scene	shuilao.path	shuilao.wCollision	shuilao.jpg	117	60000	shuilaoscene	778	427	778	410	Sign17	MiniMap_Icon3	ShuiLao_Normal	MiniMap_Icon3	ShuiLao_Normal	ThuÖ lao	0.0;0.0
71	ÐÕi Lý 2	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	0	0	0	0	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	ÐÕi Lý 2	0.0;0.0
72	ÐÕi Lý 3	320	320	dali.Scene	dali.path	dali.wCollision	dali.jpg	101	60000	daliscene	0	0	0	0	Sign9	MiniMap_Icon2	DaLi_Normal	MiniMap_Icon2	DaLi_Hover	ÐÕi Lý 3	0.0;0.0
73	Vô Lßþng S½n 2	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	102	60000	wuliangscene	0	0	0	0	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	Vô Lßþng S½n 2	0.0;0.0
74	Vô Lßþng S½n 3	320	320	wuliang.scene	wuliang.path	wuliang.wCollision	wuliangshan.jpg	102	60000	wuliangscene	0	0	0	0	Sign1	MiniMap_Icon	WuLiangShan_Normal	MiniMap_Icon	WuLiangShan_Hover	Vô Lßþng S½n 3	0.0;0.0
75	Kiªm Các 2	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	0	0	0	0	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	Kiªm Các 2	0.0;0.0
76	Kiªm Các 3	320	320	jiange.scene	jiange.path	jiange.wCollision	jiange.jpg	20	60000	jiangescene	0	0	0	0	Sign1	MiniMap_Icon2	JianGe_Normal	MiniMap_Icon2	JianGe_Hover	Kiªm Các 3	0.0;0.0
77	Ð¸a Phü	64	64	siwang.scene	siwang.path	siwang.wCollision	siwang.jpg	119	20000	siwangscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ð¸a phü	0.0;0.0
78	Sa MÕc Yªu TrÕi	128	128	shamo.scene	shamo.path	shamo.wCollision	shamo.jpg	117	40000	shamoscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Sa mÕc yªu trÕi	0.0;0.0
79	Biên Gi¾i T¯ng Liêu	128	128	songliao.scene	songliao.path	songliao.wCollision	songliao.jpg	117	60000	songliaoscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Biên gi¾i T¯ng Liêu	0.0;0.0
80	Dã NgoÕi TrÕi Phï	128	128	yewai.scene	yewai.path	yewai.wCollision	yewai.jpg	117	60000	yewaiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Dã ngoÕi trÕi phï	0.0;0.0
81	Trúc Lâm	128	128	zhulin.scene	zhulin.path	zhulin.wCollision	zhulin.jpg	120	60000	zhulinscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Trúc Lâm	0.0;0.0
82	Lôi Ðài	64	64	leitai_1.scene	leitai_1.path	leitai_1.wCollision	leitai_1.jpg	120	60000	leitai_1scene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Lôi ðài	0.0;0.0
92	Lôi Ðài	64	64	leitai_2.scene	leitai_2.path	leitai_2.wCollision	leitai_2.jpg	120	60000	leitai_2scene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Lôi ðài	0.0;0.0
102	Quang Minh Ðµng	64	64	guangmingdong.scene	guangmingdong.path	guangmingdong.wCollision	guangmingdong.jpg	117	60000	guangmingdong	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Quang Minh ðµng	0.0;0.0
103	Ðáy C¯c Tiêu Dao	64	64	gudi.scene	gudi.path	gudi.wCollision	gudi.jpg	146	60000	gudiscene	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðáy c¯c Tiêu Dao	0.0;0.0
104	Linh Tính Phong	64	64	lingxingfeng.scene	lingxingfeng.path	lingxingfeng.wCollision	lingxingfeng.jpg	120	60000	lingxingfeng	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Linh Tính Phong	0.0;0.0
105	Cái Bang TØu Diªu	64	64	jiujiao.scene	jiujiao.path	jiujiao.wCollision	jiujiao.jpg	117	60000	jiujiao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Cái Bang TØu Diªu	0.0;0.0
106	Ðào Hoa Tr§n	64	64	taohuazhen.scene	taohuazhen.path	taohuazhen.wCollision	taohuazhen.jpg	147	60000	taohuazhen	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ðào Hoa Tr§n	0.0;0.0
