INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
67	0	212	156	Lâm Kim Long	Ti¬u nh¸ cüa ti®m vû khí	Vû khí	6	3
68	0	157	35	Lßu Quang Thª			7	5
69	0	150	90	Lßu Ki®n Minh	Lînh 2 l¥n kinh nghi®m	Lînh song	5	4
70	0	219	262	Lßu Di®c Nông	ÐÕi sß tr°ng tr÷t	 Tr°ng tr÷t 	5	4
71	0	199	57	Li­u Phúc Sinh			7	5
72	0	100	170	Long Bá Thiên	Khôi phøc khí huyªt	Khôi phøc	5	4
73	0	60	146	Long Tam Thiªu	Sß phø kÛ nång công ngh®	 Công ngh® 	5	4
74	0	109	210	Lã Hu® Khanh			7	5
75	0	112	64	N² Nhi Häi			7	5
76	0	174	33	Bùi Tuyên			7	5
77	0	177	184	Bành Hoài Ng÷c	Bäo ThÕch công tßþng	Bäo thÕch	5	4
78	0	112	72	Phác Minh Thi®n			7	5
79	0	132	154	Tß¶ng V	ÐÕi sß dßÞng sinh h÷c	DßÞng sinh	5	4
80	0	230	156	Ki«u Phúc Th¸nh	CØu Châu thß½ng hµi lão bän	Thß½ng ðiªm	6	3
81	0	225	152	Ki«u Thanh Th¸nh			7	5
82	0	175	115	Ki«u Trí Quäng	LÕc Dß½ng thß½ng nhân	Bào thß½ng	6	3
83	0	136	185	Khâu Hành LÕc	Nhi®m vø ðßa thß	Ðßa thß	7	5
84	0	128	98	C¥u Hßng			7	5
85	0	254	146	Nhuª Phúc Tß¶ng	Chß·ng quÛ ti®m tÕp hóa	TÕp hóa	6	3
86	0	208	213	Thß ð°ng			7	5
87	0	207	212	Tß Mã Quang	Nhi®m vø anh hùng		7	5
88	0	162	34	Tô Triªt			7	5
89	0	180	213	Ðàm Công			7	5
90	0	179	212	Ðàm Bà			7	5
91	0	180	185	Ðào Ð¡c Bäo	Ti¬u nh¸ cüa ti®m qu¥n áo	Phøc sÑc	6	3
92	0	121	73	Ð¢ng Nguyên Tá Vi			7	5
93	0	136	180	Ði«n Kiêu Minh	Mua thú cßÞi tân thü	KÜ	6	3
94	0	159	181	Ðinh Ðinh	GØi bán vàng và nguyên bäo	GØi bán 	5	4
95	0	204	57	Ð°ng Quán	Giäi túc c¥u liêm phóng sÑ	Túc C¥u	5	2
96	0	230	129	Uông HÕn	CØu Châu thß½ng hµi v§n chuy¬n	V§n chuy¬n	5	1
97	0	120	196	Xa Truy«n Nghîa	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
98	0	213	160	Vß½ng ÐÑc Phúc	Ðúc kiªm sß phø	 ðúc khuôn 	5	4
99	0	210	154	Vß½ng ÐÑc Quý	ÐÕi ðß½ng gia cüa ti®m vû khí	Vû khí	6	3
100	0	271	88	Vß½ng Tích Tân	Ngß¶i tiªp dçn kÏ cuµc	KÏ cuµc	5	4
101	0	212	151	Tiªt Ð°ng ChuÏ	Sß phø kÛ nång khai khoáng	 Khai khoáng 	5	4
102	0	250	106	V® tiên sinh	Ti«n Trang chß·ng qu¥y	Ti«n trang	5	4
103	0	139	182	Ngô ÐÑc Xß½ng	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
104	0	89	111	Ngû Ðinh	Thß½ng nhân d¸ch dung	D¸ch dung	6	3
105	0	120	63	Võ Ði«n Tín Xß½ng			7	5
106	0	177	94	HÖ Lai LÕc	Ngß¶i quän lý kªt hôn tu¥n du	Hôn Khánh	5	4
107	0	155	107	HÕ H¥u Nhân	Tung S½n phong thi«n ðài	CÕnh KÜ	5	2
108	0	262	53	Châu Nhiên	Ngß¶i d¸ch chuy¬n ðªn chiªn trß¶ng	Chinh Thäo	5	2
109	0	280	141	Thôi Vi	Ngß¶i khôi phøc biªn thân chiªn trß¶ng	Biªn thân	5	2
110	0	110	52	Tiêu Phøng Tiên			7	5
111	0	210	201	T× Kinh Lôi			7	5
112	0	120	169	Nghiêm Bách Thäo	Hái dßþc ðÕi sß	 Hái dßþc 	5	4
113	0	252	130	Nhan Nhß Ng÷c	Sß phø thay ð±i dung mÕo	Thay ð±i dung mÕo	5	4
114	0	112	202	Yªn Thanh	Ám Khí ÐÕi Sß	Ám Khí	5	4
115	0	250	129	Yªn Nhß Tuyªt	Quán phát sß phø	Quän lý ki¬u tóc	5	4
116	0	107	203	Dß½ng Th¶i			7	5
117	0	79	152	Dß½ng Hy Bình			7	5
118	0	234	69	Dß½ng Tranh			7	5
119	0	118	62	Gia Lu§t ÐÕi ThÕch			7	5
120	0	77	54	Nghi®p Phàn			7	5
121	0	75	70	Nghi®p Không			7	5
122	0	106	200	Du Tác			7	5
123	0	57	82	Du Thän Chi			7	5
124	0	160	101	Vu CØu Liên	Tung S½n phong thi«n ðài	CÕnh KÜ	5	4
125	0	47	62	Nguy®t Lão	Ðång kí kªt hôn	Kªt bái phu thê	5	4
126	0	182	155	Vân Hàm Nhi	Ngß¶i v§n chuy¬n Huy«n Vû Ðäo	Huy«n vû	5	2
127	0	182	157	Vân Diêu Diêu	Phß¶ng chü Trùng Ði¬u phß¶ng	Thú	6	3
128	0	172	141	Vân Thanh Thanh	Trân thú døng ph¦m thß½ng nhân	Thú	6	3
129	0	67	126	Trß½ng Bá Trí			7	5
130	0	200	61	Trß½ng Tu¤n			7	5
131	0	137	164	Trß½ng Minh Cänh	ÐÕi sß chª duþc	 Chª dßþc 	5	4
132	0	200	103	Chß½ng Ðôn	Ð±i danh xßng Bình T£c	Bình t£c	5	4
133	0	150	114	Tri®u Bán ThuÖ	Chß½ng trình l­ hµi ðêm xuân	Ðêm xuân	5	4
134	0	228	175	Tri®u Minh Thành	LÕc Dß½ng Tào v§n sÑ	V§n chuy¬n	5	4
135	0	86	89	Tri®u Ti«n Tôn			7	5
136	0	182	183	Chân Duy Tß	Phòng sÑc ðiªm lão bän	Phøc sÑc	6	3
137	0	77	72	Trí Quang ÐÕi Sß			7	5
138	0	79	52	Trí Thanh ÐÕi Sß			7	5
139	0	245	96	Châu Bang NgÕn			7	5
140	0	63	131	Chu Ð°ng			7	5
141	0	194	180	Gia Cát Kh±ng Minh			7	5
142	0	112	51	Tông Ca Ban			7	5
143	0	120	54	Tông Ca ÐÕt			7	5
144	0	121	55	Tông Tán			7	5
145	0	144	116	Quách Bäo Toàn	Tuyên truy«n an toàn	An toàn	5	3
146	0	246	129	Y Thiên Thái	Th¶i Trang ÐÕi Sß	Th¶i trang	5	3
147	0	220	170	Trß½ng Hàng Long	Ðiêu Vån ÐÕi Sß	Ðiêu Vån	5	3
148	1	32	162	Bän ð°: Kính H°		V§n chuy¬n	99	2
149	1	181	33	Bän ð°: Thái H°		V§n chuy¬n	99	2
150	1	182	287	Bän ð°: Tây H°		V§n chuy¬n	99	2
151	1	128	74	A Bích	Nhi®m vø k¸ch tình		7	5
152	1	87	140	Ngäi H±			7	5
153	1	115	71	Bao B¤t Ð°ng			7	5
154	1	190	168	Bao Thª Vinh	PhÕn ðiªm lão bän	Thñc ph¦m	6	3
155	1	95	181	H¥u bàn Tào	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
156	1	96	79	Tri«u B± Chi			7	5
157	1	131	230	Tr¥n Quý Thß¶ng			7	5
158	1	183	263	Trình Vi­n Chí	Giang h° du y	Khôi phøc	5	4
159	1	265	127	S· Di­n			7	5
160	1	239	128	Ð£ng M§u	Ông chü d¸ch trÕm Thiªt Tßþng Ph¯	V§n chuy¬n	5	1
161	1	132	70	Ð£ng Bách Xuyên			7	5
162	1	111	133	PhÕm ÐÕi Thành	Bäo ThÕch thß½ng nhân	Bäo thÕch	6	3
163	1	127	74	Phong Ba Ác			7	5
164	1	133	70	Công Dã Càn			7	5
165	1	96	75	HÕ Chú			7	5
166	1	244	215	Hô Diên Báo	Nhi®m vø ThuÖ lao	ThuÖ lao	7	5
167	1	99	155	H° Ph°n	Dßþc ph¦m thß½ng nhân	Bán thu¯c	6	3
168	1	251	108	Hoa Kiªm Vû	Nhi®m vø liên hoàn phó bän	Liên hoàn	5	4
169	1	186	182	Lß½ng ÐÕo Sî	Tr÷ng HÕ	Tr÷ng HÕ	5	4
170	1	88	181	H¥u bàn Hoa	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
171	1	238	77	Tß·ng Bình	ÐÕi sß kÛ nång câu cá	 Câu cá 	5	4
172	1	98	181	H¥u bàn Kh±ng	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
173	1	81	267	Lão C¯			7	5
174	1	111	160	Lý Th×a Phong	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
175	1	240	158	Xa Truy«n An	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
176	1	191	94	Lý LÕc Thi	Thi®n ác tr¸ thß½ng nhân	Thi®n Ác	6	3
177	1	224	184	PhÕm Thu¥n Tuý	Ngß¶i d¸ch chuy¬n bang hµi	Bang hµi	5	2
178	1	169	138	Lß½ng Sß Thành	Quan phø trách ngñ tÑ v§t ph¦m	Ngñ TÑ	5	4
179	1	178	129	Lâm Tri«u Hùng	Hàn Ng÷c C¯c d¸ch chuy¬n sÑ	Hàn Ng÷c	5	2
180	1	64	200	Lâm Hoà T¸nh	ÐÕi sß tr°ng tr÷t	 Tr°ng tr÷t 	5	4
181	1	123	112	Li­u Kim Thi«m			7	5
182	1	239	101	Vi ðÕi thúc	Biªn ðá thành vàng	Ði¬m Kim	5	2
183	1	130	230	Li­u Nguy®t H°ng	ÐÕi sÑ rút thåm may m¡n	Rút thåm	5	2
184	1	234	78	Løc Sî Tranh	Tô Châu Tào v§n sÑ	V§n chuy¬n	5	4
185	1	129	76	Mµ Dung Phøc	Nhi®m vø k¸ch tình		7	5
186	1	87	80	Âu Dß½ng Tu			7	5
187	1	266	140	Âu Dã TØ	Sß phø vû khí trang b¸	Cß¶ng hóa	5	4
188	1	266	143	Âu Tr¸ Vu	Th¥n Khí Luy®n H°n Sß	Luy®n h°n	5	4
189	1	268	213	Phan Tu¤n	N½i ðång kí quyªt ð¤u	Quyªt ð¤u	5	4
190	1	106	111	Bàng An Th¶i	ÐÕi sß chª duþc	 Chª dßþc 	5	4
191	1	106	114	Bàng Song			7	5
192	1	85	162	Bình Sa NhÕn	Giang h° du y	Khôi phøc	5	4
193	1	62	162	Ti«n Hoành Vû	Nhi®m vø liên hoàn phó bän	Liên hoàn	5	4
194	1	164	80	Th¦m Trình	Quan viên lînh g¤p ðôi kinh nghi®m	Lînh song	5	4
195	1	222	94	Thí trang	Ti®m th¶i trang	Th¶i trang	6	3
196	1	193	138	Tô Kiªm Lînh	SÑ giä Hoa S½n Lu§n Kiªm	Lu§n kiªm	5	4
197	1	97	204	Tô ThÑc			7	5
198	1	194	128	Tô Song	Thß½ng nhân cüa Tô Châu	Bào thß½ng	6	3
199	1	173	130	TuÏ Báo Minh	Báo danh ðÕi hµi tï võ	Tï võ	5	4
200	1	114	72	Tôn S½n			7	5
201	1	128	173	Tôn TØ Vû	TÕp hóa thß½ng nhân	TÕp hóa	6	3
202	1	267	116	Vß½ng An ThÕch			7	5
203	1	94	177	Vß½ng phu nhân	Dây nhi®m vø	NV	5	4
204	1	264	126	Vß½ng Khuê			7	5
205	1	106	109	Vß½ng Th¦m Chi	ÐÕi sß hái thu¯c	 Hái dßþc 	5	4
206	1	94	206	NguÜ Hán Tân			7	5
207	1	224	226	NguÜ Chân			7	5
208	1	168	168	Vån NgÕn Bác	Bách Biªn Ki¬m Ph±	Biªn thân	5	5
209	1	127	133	Ngô Gi¾i	Nhi®m vø ðä ð°	Ðä ð°	7	5
210	1	187	129	HÕ ToÕi Lß½ng	Tung S½n phong thi«n ðài	CÕnh KÜ	5	2
211	1	96	127	Ti¬u Cao		Ph¯i Phß½ng	6	3
212	1	109	135	TÕ Thßþng			7	5
213	1	255	151	Tiªt Phi	Thþ sØa chæa trang b¸ cao c¤p	SØa chæa	5	4
214	1	251	151	Tiªt Chúc	ÐÕi sß luy®n kim	 ðúc khuôn 	5	4
215	1	200	83	Tuyªt Trúc Liên	Thanh tr× sát khí	Thanh tâm	5	4
216	1	91	181	H¥u bàn Nghiêm	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
217	1	270	131	Lß½ng Höa Kª	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
218	1	96	86	Nhan Tra Tán			7	5
219	1	211	80	Dß Hoá Long	ÐÕi sß may vá	C¡t may	5	4
220	1	96	89	Vû M£c			7	5
221	1	187	147	Vu Thiên Thiên	Túc c¥u ð£c sÑ	Túc C¥u	5	2
222	1	192	148	NhÕc Thß¶ng Viên			7	5
223	1	87	142	Vân Phi Phi	Phß¶ng chü Trùng Ði¬u phß¶ng	Thú	6	3
224	1	88	76	T¢ng Cüng			7	5
225	1	109	130	T¢ng Tam Tïnh	ÐÕi sß mÛ ngh®	 Công ngh® 	5	4
226	1	90	177	Trß½ng Tiªn Bäo	Thß½ng nhân nguyên li®u nguyên bäo	NL	6	3
227	1	96	83	Trß½ng L²i			7	5
228	1	267	210	Trß½ng Thø M§u			7	5
229	1	259	132	Trß½ng Ti¬u Hà	Sß phø kÛ nång khai khoáng	 Khai khoáng 	5	4
230	1	251	130	Trß½ng Ti¬u Tuy«n	Vû khí ðiªm lão bän	Vû khí	6	3
231	1	174	147	Trß½ng D¸ch Qu¯c	Ngß¶i tiªp dçn kÏ cuµc	KÏ cuµc	5	4
232	1	173	179	Trß½ng TrÕch Ðoan			7	5
233	1	234	227	Tr¸nh Thiên Th÷			7	5
234	1	189	173	Trí Hoá	ÐÕi sß n¤u ån	 N¤u nß¾ng 	5	4
235	1	124	113	Châu Ðôn Di			7	5
236	1	160	72	Chu Ðan Th¥n			7	5
237	1	181	74	H¥u bàn Chu	Giang h° du y	Khôi phøc	5	4
238	1	270	150	Châu Phong	Sß phø chª tÕo	Chª tÕo	5	4
239	1	237	168	Chúc Tam Ni®m	Thþ buôn nguyên v§t li®u	NL	6	3
240	1	217	88	Tä Quý Cao	Phòng cø ðiªm chß·ng qu¥y	Phøc sÑc	6	3
241	1	129	213	Tä Ð°ng	LÕc thi®n sÑ giä	Thiên t¥m	7	2
242	1	91	84	Thánh hoä ðàn			7	2
243	1	217	81	Tä Vô Song	Thþ buôn ð° trang sÑc	Trang sÑc	6	3
244	1	87	143	Vân Tß Nhi	Ngß¶i v§n chuy¬n Huy«n Vû Ðäo	Huy«n vû	5	2
245	1	248	184	Vân San San	Trang B¸ Trân Thú	Thú Giáp	5	3
246	1	251	184	Vân Tuyªt Nhi	Trang B¸ Trân Thú	Thú Giáp	5	3
247	2	159	287	Bän ð°: Nhî Häi		V§n chuy¬n	99	2
248	2	31	151	Bän ð°: Kiªm Các		V§n chuy¬n	99	2
249	2	288	151	Bän ð°: Vô Lßþng S½n		V§n chuy¬n	99	2
250	2	160	157	Tri®u Thiên Sß	TÑ ÐÕi Thi®n Nhân	Thi®n nhân	7	2
251	2	182	118	PhÕm Thu¥n L­	Ngß¶i d¸ch chuy¬n bang hµi	Bang hµi	5	2
252	2	182	141	H°ng ÐÕi Quý	Quan viên lînh g¤p ðôi kinh nghi®m	Lînh song	5	4
253	2	274	95	Lßu Tr÷ng Phü	Ngß¶i tiªp dçn kÏ cuµc	KÏ cuµc	5	4
254	2	178	133	BÕch Sùng Nghîa	Tung S½n phong thi«n ðài	CÕnh KÜ	5	2
255	2	278	152	BÕch Tri¬n Nguyên	Giang h° du y	Khôi phøc	5	4
256	2	132	125	Trình Thanh Sß½ng	Thiên S½n phái tiªp dçn sÑ	Thiên S½n	5	2
257	2	235	228	S½ Kích Bình	Thß½ng nhân giám ð¸nh bùa	Giám ð¸nh	6	3
258	2	58	38	ChØ VÕn Lý			7	5
259	2	90	72	Thôi Bách Tuy«n			7	5
260	2	241	137	Thôi Phùng CØu	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
261	2	250	103	Xa Truy«n Chí	Ông chü d¸ch trÕm	V§n chuy¬n	5	1
262	2	188	134	Ðàm Ðài TØ Vû	Tiêu Dao phái tiªp dçn môn hÕ	Tiêu Dao	5	2
263	2	49	56	Ðao BÕch Phøng			7	5
264	2	158	164	Ðô ÐÕi Säng	SÑ giä Tài phúc	Tài phú	5	4
265	2	117	157	Ð² TØ Phi	ÐÕi sß n¤u ån	 N¤u nß¾ng 	5	4
266	2	110	159	Ð² TØ Ð¢ng	TØu ðiªm lão bän	Thñc ph¦m	6	3
267	2	215	284	Ðoàn Diên Khánh	Nhi®m vø k¸ch tình		7	5
268	2	63	36	Ðoàn Chính Thu¥n	ÐÕi Lý Tr¤n Nam Vß½ng		7	5
269	2	60	39	Ðoàn Chính Minh	ÐÕi Lý Hoàng Ðª		7	5
270	2	163	41	PhÕm Hoa			7	5
271	2	97	222	Phøng Tri«u Dß½ng	Võ quán quán chü	Tï võ	5	4
272	2	100	129	Phó Ðß½ng Quy	ÐÕi sß chª duþc	 Chª dßþc 	5	4
273	2	73	41	Phó Tß Quy			7	5
274	2	237	279	Cam Bäo Bäo			7	5
275	2	64	37	Cao Thång Thái			7	5
276	2	58	133	Cao Thång Tß¶ng	TÕp hóa thß½ng nhân	TÕp hóa	6	3
277	2	36	146	Các La Ách	Ngß¶i nuôi Ðiêu c±ng Tây		5	4
278	2	151	255	Các La L²	Ngß¶i nuôi Ðiêu c±ng Nam		5	4
279	2	281	146	Các La Thi®n	Ngß¶i nuôi Ðiêu c±ng Ðông		5	4
280	2	281	164	Các La Thích	Ngß¶i nuôi Ðiêu c±ng Ðông		5	4
281	2	209	279	Các La Ngµt	Ngß¶i nuôi Ðiêu c±ng Nam		5	4
282	2	56	134	Các La Y	Ngß¶i nuôi Ðiêu c±ng Tây		5	4
283	2	277	168	Công Tôn ÐÕi Thúc	ÐÕi sß tr°ng tr÷t c±ng Ðông	 Tr°ng tr÷t 	5	4
284	2	171	123	Cüng Thái Vân	SÑ giä hoÕt ðµng ph¥n thß·ng	HoÕt ðµng	5	4
285	2	77	41	C± Ð¯c Thành			7	5
286	2	218	110	Quá Tam ChuÏ	ÐÕi sß luy®n kim	 ðúc khuôn 	5	4
287	2	70	120	Quá NgÕn Chi			7	5
288	2	134	121	Häi Phong TØ	Tinh Túc phái tiªp dçn ð® tØ	Tinh Túc	5	2
289	2	81	162	Hàn Vînh An	Ðß½ng ph¯ lão bän	NL	6	3
290	2	207	172	Hà Sinh Kim	Thß½ng nhân nguyên li®u	NL	6	3
291	2	223	171	H¥u bàn Hà	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
292	2	75	51	Hoa Hách C¤n	Tß ð° ÐÕi Lý		7	5
293	2	238	172	Hoàng Công ÐÕo	Chß·ng quî ti®m phøc trang	Phøc sÑc	6	3
294	2	243	172	Hoàng Lång Ba	ÐÕi sß may vá	 May m£c 	5	4
295	2	275	49	Hoàng Mi Tång	Trø trì cüa Niêm Hoa tñ		7	5
296	2	187	122	Tu® D¸ch	Thiªu Lâm tñ tiªp dçn môn hÕ	Thiªu Lâm	5	2
297	2	127	135	Giän Ninh	Cái Bang tiªp dçn trß·ng lão	Cái Bang	5	2
298	2	216	194	Kim Ngû Gia			7	5
299	2	48	55	Lan Lan			7	5
300	2	160	128	Lý Công Bµ	TÑ ÐÕi Thi®n Nhân	Thi®n nhân	7	5
301	2	99	133	Lßu Ký Nô	ÐÕi sß hái thu¯c	 Hái dßþc 	5	4
302	2	103	132	Lô Tam Th¤t	Dßþc ðiªm lão bän	Ti®m thu¯c	6	3
303	2	208	196	L² Minh Nguy®t	ÐÕi sß mÛ ngh®	 Công ngh® 	5	4
304	2	192	130	Lµ Tam Nß½ng	Nga My phái tiªp dçn cô cô	Nga My	5	2
305	2	224	173	H¥u bàn Lã	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
306	2	95	223	Loan Bßu			7	5
307	2	99	223	Loan H±			7	5
308	2	219	255	M­ Ph¤t			7	5
309	2	107	136	Mµc Uy¬n Thanh	Nhi®m vø k¸ch tình		7	5
310	2	103	157	Møc TØ Lång	kÛ nång câu cá	 Câu cá 	5	4
311	2	142	134	Nhiªp Chính	Ngß¶i gi¾i thi®u bái sß	Bái sß	5	4
312	2	44	131	Âu Dß½ng ÐÕi Thúc	ÐÕi sß tr°ng tr÷t c±ng Tây	 Tr°ng tr÷t 	5	4
313	2	190	125	Phá Tham	Thiên Long tñ tiªp dçn môn hÕ	Thiên Long	5	2
314	2	217	134	B° Lß½ng	Binh khí ðiªm lão bän	Vû khí	6	3
315	2	145	139	Ti«n Long	TÑ ÐÕi Thi®n Nhân	Thi®n nhân	7	5
316	2	198	171	H¥u bàn T¥n	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
317	2	39	165	Nhuª Tß	Mã Hí Ðoàn sÑ giä	Mã hí	5	4
318	2	256	127	Thân Tình	Ngß¶i chï ðÕo Trân Thú	Thú	5	4
319	2	186	74	Th¦m Hàm Hß½ng	Cô gái bán hoa	Ti®m bán hoa	6	3
320	2	222	103	Th¦m Quát	Nhi®m vø anh hùng		7	5
321	2	223	176	H¥u bàn Thi	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
322	2	130	122	ThÕch Bäo	Minh Giáo tiªp dçn sÑ	Minh Giáo	5	2
323	2	173	146	Tôn Bát Gia	TÑ ÐÕi Thi®n Nhân	Thi®n nhân	7	5
324	2	160	253	Ðàm Cänh Thiên	Giang h° du y	Khôi phøc	5	4
325	2	39	152	Ðào Tiên Thu	Giang h° du y	Khôi phøc	5	4
326	2	192	131	Thiên S½n Muµi Muµi			7	5
327	2	216	117	Ð°ng Hoá Thiªt	ÐÕi sß khai thác mö	 Khai khoáng 	5	4
328	2	55	193	Vß½ng Nhßþc Vû	ÐÕi Lý Tào v§n SÑ	V§n chuy¬n	5	4
329	2	217	255	Vß½ng Thi«u			7	5
330	2	211	173	Vß½ng Dînh	Ti«n trang lão bän		5	4
331	2	209	174	Lam Höa Kª	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
332	2	213	174	Ho¡c Höa Kª	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
333	2	282	94	HÕ Thanh Thanh	Túc c¥u ð£c sÑ	Túc C¥u	5	2
334	2	248	172	Ti¬u Thoa	A ð¥u ti®m qu¥n áo	Trang sÑc	6	3
335	2	199	255	Ti¬u Kh¤t Cái			7	5
336	2	198	177	H¥u bàn HÑa	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
337	2	36	149	Dß½ng Bách Lý			7	5
338	2	156	256	Dß½ng Thiên Lý			7	5
339	2	285	156	Dß½ng Th§p Lý			7	5
340	2	54	266	Di®p Nh¸ Nß½ng			7	5
341	2	198	174	H¥u Bàn ¿u	Ti«n trang ti¬u nh¸	Ti«n trang	5	4
342	2	80	133	Dß Trþ Chi	Nhi®m vø Quan thanh lý	NV	5	4
343	2	265	129	Vân Phiêu Phiêu	Phß¶ng chü Trùng Ði¬u phß¶ng	Thú	6	3
344	2	52	267	Vân Trung HÕc			7	5
